date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-09-04,39,24,0.0,11.6,8,81,08:54 PM,08:35 AM,06:27 AM,07:14 PM,3,33,33,32,15,0,20,0.0,1012,39,10,233,9,california
2020-09-05,40,25,0.0,11.6,8,73,09:20 PM,09:31 AM,06:28 AM,07:12 PM,3,33,33,33,13,0,17,0.0,1014,40,10,218,8,california
2020-09-06,41,28,0.0,11.6,9,66,09:48 PM,10:26 AM,06:28 AM,07:11 PM,2,35,35,35,17,1,15,0.0,1013,41,10,242,9,california
2020-09-07,41,29,0.0,11.6,9,58,10:17 PM,11:22 AM,06:29 AM,07:10 PM,1,35,35,36,34,8,12,0.0,1008,41,10,269,20,california
2020-09-08,35,27,0.0,11.6,8,50,10:51 PM,12:19 PM,06:30 AM,07:08 PM,-4,30,30,31,38,0,11,0.0,1006,35,10,175,25,california
2020-09-09,29,16,0.0,11.6,6,43,11:30 PM,01:17 PM,06:31 AM,07:07 PM,-11,23,23,23,12,0,11,0.0,1013,29,10,98,8,california
2020-09-10,31,16,0.0,11.6,7,35,No moonrise,02:15 PM,06:31 AM,07:05 PM,-7,24,24,24,13,0,14,0.0,1015,31,10,137,8,california
2020-09-11,32,17,0.0,11.6,7,28,12:14 AM,03:12 PM,06:32 AM,07:04 PM,-3,25,25,25,9,0,19,0.0,1014,32,10,180,5,california
2020-09-12,34,19,0.0,11.6,7,20,01:07 AM,04:06 PM,06:33 AM,07:02 PM,-1,27,27,27,13,0,19,0.0,1012,34,10,225,7,california
2020-09-13,36,20,0.0,11.6,7,13,02:06 AM,04:56 PM,06:34 AM,07:01 PM,-1,28,28,29,13,0,17,0.0,1012,36,10,189,8,california
2020-09-14,35,20,0.0,11.6,7,5,03:12 AM,05:42 PM,06:34 AM,06:59 PM,-0,28,28,28,13,0,18,0.0,1013,35,10,206,8,california
2020-09-15,35,20,0.0,11.6,7,0,04:21 AM,06:22 PM,06:35 AM,06:58 PM,1,28,28,28,13,1,18,0.0,1015,35,10,220,9,california
2020-09-16,35,21,0.0,11.6,8,0,05:32 AM,06:59 PM,06:36 AM,06:56 PM,-3,28,28,28,15,2,14,0.0,1014,35,10,215,10,california
2020-09-17,35,18,0.0,11.6,7,0,06:44 AM,07:34 PM,06:37 AM,06:55 PM,-3,27,27,27,15,8,16,0.0,1013,35,10,215,10,california
2020-09-18,34,22,0.0,11.6,7,2,07:56 AM,08:08 PM,06:37 AM,06:54 PM,1,28,28,28,19,16,20,0.0,1012,34,10,254,13,california
2020-09-19,33,19,0.0,11.6,7,10,09:08 AM,08:43 PM,06:38 AM,06:52 PM,6,26,26,26,24,1,32,0.0,1011,33,10,259,16,california
2020-09-20,33,16,0.0,11.6,7,17,10:20 AM,09:22 PM,06:39 AM,06:51 PM,1,25,25,25,15,0,28,0.0,1011,33,10,213,9,california
2020-09-21,33,19,0.0,11.6,7,25,11:32 AM,10:03 PM,06:39 AM,06:49 PM,1,26,26,26,20,0,22,0.0,1011,33,10,213,13,california
2020-09-22,32,19,0.0,11.6,7,32,12:41 PM,10:49 PM,06:40 AM,06:48 PM,1,26,26,26,26,0,23,0.0,1014,32,10,237,17,california
2020-09-23,33,17,0.0,11.6,7,40,01:47 PM,11:42 PM,06:41 AM,06:46 PM,1,26,26,26,15,0,24,0.0,1015,33,10,236,9,california
2020-09-24,33,17,0.0,11.6,7,47,02:46 PM,No moonset,06:42 AM,06:45 PM,0,25,25,25,20,0,24,0.0,1013,33,10,263,13,california
2020-09-25,31,16,0.0,11.6,6,55,03:38 PM,12:37 AM,06:42 AM,06:43 PM,3,23,23,23,19,0,32,0.0,1012,31,10,258,12,california
2020-09-26,31,15,0.0,11.6,7,62,04:22 PM,01:37 AM,06:43 AM,06:42 PM,3,24,24,24,17,0,32,0.0,1012,31,10,255,10,california
2020-09-27,34,16,0.0,11.6,7,70,05:00 PM,02:37 AM,06:44 AM,06:40 PM,1,26,26,26,13,3,26,0.0,1011,34,10,156,9,california
2020-09-28,34,20,0.0,11.6,7,78,05:34 PM,03:37 AM,06:45 AM,06:39 PM,-1,27,27,28,19,0,19,0.0,1014,34,10,83,13,california
2020-09-29,34,18,0.0,11.6,7,85,06:03 PM,04:36 AM,06:46 AM,06:38 PM,-5,26,26,26,9,0,15,0.0,1016,34,10,150,5,california
2020-09-30,35,20,0.0,11.6,7,93,06:31 PM,05:33 AM,06:46 AM,06:36 PM,-2,28,28,28,13,0,17,0.0,1015,35,10,233,7,california
2020-10-01,36,20,0.0,11.6,7,97,06:57 PM,06:29 AM,06:47 AM,06:35 PM,-4,29,29,29,12,0,17,0.0,1015,36,10,220,7,california
2020-10-02,36,19,0.0,11.6,7,100,07:23 PM,07:25 AM,06:48 AM,06:33 PM,-3,29,29,28,13,0,17,0.0,1012,36,10,247,7,california
2020-10-03,35,18,0.0,11.6,7,89,07:50 PM,08:19 AM,06:49 AM,06:32 PM,-4,28,28,28,13,0,16,0.0,1011,35,10,239,7,california
2020-10-04,35,18,0.0,11.6,7,82,08:18 PM,09:16 AM,06:49 AM,06:30 PM,-3,27,27,27,14,0,17,0.0,1013,35,10,211,9,california
2020-10-05,34,18,0.0,10.2,6,74,08:50 PM,10:12 AM,06:50 AM,06:29 PM,-5,26,26,26,16,32,16,0.0,1015,34,10,232,10,california
2020-10-06,32,16,0.0,11.6,6,67,09:27 PM,11:09 AM,06:51 AM,06:28 PM,-5,24,24,25,13,16,16,0.0,1014,32,10,243,8,california
2020-10-07,31,17,0.0,11.6,7,60,10:08 PM,12:07 PM,06:52 AM,06:26 PM,-2,24,24,24,19,2,21,0.0,1011,31,10,226,13,california
